Observation,Cruise/Field Campaign,Station Number,Station Date(YYYY/MM/DD),Year,Month,Day,Latitude,Longitude,Sector,Ice Thickness (m),Snow Thickness (m),Freeboard (m),Comment
1,GLOBEC,CR-1,20020806,2002,8,6,-66.566,-67.541,Bellingshausen/Amundsen,0.7,0.2,0.065,
2,GLOBEC,CR-2,20020806,2002,8,6,-66.566,-67.541,Bellingshausen/Amundsen,0.79,0.23,0.04,
3,GLOBEC,CR-3,20020806,2002,8,6,-66.566,-67.541,Bellingshausen/Amundsen,0.71,0.22,0.07,
4,GLOBEC,CR-4,20020806,2002,8,6,-66.566,-67.541,Bellingshausen/Amundsen,0.84,0.23,0.07,
5,GLOBEC,CR-5,20020806,2002,8,6,-66.566,-67.541,Bellingshausen/Amundsen,0.85,0.2,0.08,
6,GLOBEC,CR-6,20020806,2002,8,6,-66.566,-67.541,Bellingshausen/Amundsen,0.44,0.2,-0.015,
7,GLOBEC,CR-7,20020809,2002,8,9,-67.223,-70.642,Bellingshausen/Amundsen,1.1,0.07,0.09,
8,GLOBEC,CR-8,20020809,2002,8,9,-67.223,-70.642,Bellingshausen/Amundsen,1.4,0.35,-0.07,
9,GLOBEC,CR-13,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.3,-99.9,-99.9,
10,GLOBEC,CR-14,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.29,-99.9,-99.9,
11,GLOBEC,CR-15,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.34,-99.9,-99.9,
12,GLOBEC,CR-16,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.36,-99.9,-99.9,
13,GLOBEC,CR-17,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.79,-99.9,-99.9,
14,GLOBEC,CR-18,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.49,-99.9,-99.9,
15,GLOBEC,CR-19,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,1.78,-99.9,-99.9,
16,GLOBEC,CR-20,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.3,-99.9,-99.9,
17,GLOBEC,CR-21,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.34,-99.9,-99.9,
18,GLOBEC,CR-22,20020811,2002,8,11,-68.665,-76.178,Bellingshausen/Amundsen,0.32,-99.9,-99.9,
19,GLOBEC,CR-9,20020812,2002,8,12,-68.863,-75.118,Bellingshausen/Amundsen,1.78,0.18,0.08,
20,GLOBEC,CR-10,20020812,2002,8,12,-68.863,-75.118,Bellingshausen/Amundsen,0.68,0.09,0.05,
21,GLOBEC,CR-11,20020812,2002,8,12,-68.863,-75.118,Bellingshausen/Amundsen,0.65,0.07,0.01,
22,GLOBEC,CR-12,20020812,2002,8,12,-68.863,-75.118,Bellingshausen/Amundsen,0.65,0.26,0.01,
23,GLOBEC,CR-13,20020812,2002,8,12,-68.863,-75.118,Bellingshausen/Amundsen,0.61,0.13,0.015,
24,GLOBEC,CR-14,20020812,2002,8,12,-68.863,-75.118,Bellingshausen/Amundsen,0.67,0.08,0.01,
25,GLOBEC,CR-23,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.37,-99.9,-99.9,
26,GLOBEC,CD-24,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.71,-99.9,-99.9,
27,GLOBEC,CR-25,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.44,-99.9,-99.9,
28,GLOBEC,CR-26,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.25,-99.9,-99.9,
29,GLOBEC,CR-27,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.37,-99.9,-99.9,
30,GLOBEC,CR-29,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.81,-99.9,-99.9,
31,GLOBEC,CR-30,20020813,2002,8,13,-68.165,-75.185,Bellingshausen/Amundsen,0.77,-99.9,-99.9,
32,GLOBEC,CR-35,20020814,2002,8,14,-68.165,-75.185,Bellingshausen/Amundsen,0.75,-99.9,-99.9,
33,GLOBEC,CR-15,20020814,2002,8,14,-68.778,-76.781,Bellingshausen/Amundsen,0.56,0.08,0.05,
34,GLOBEC,CR-16,20020814,2002,8,14,-68.778,-76.781,Bellingshausen/Amundsen,0.42,0.1,0.03,
35,GLOBEC,CR-36,20020815,2002,8,15,-68.094,-75.017,Bellingshausen/Amundsen,0.65,-99.9,-99.9,
36,GLOBEC,CR-37,20020815,2002,8,15,-68.094,-75.017,Bellingshausen/Amundsen,0.62,-99.9,-99.9,
37,GLOBEC,CR-38,20020815,2002,8,15,-68.094,-75.017,Bellingshausen/Amundsen,0.69,-99.9,-99.9,
38,GLOBEC,CR-39,20020815,2002,8,15,-68.094,-75.017,Bellingshausen/Amundsen,0.7,-99.9,-99.9,
39,GLOBEC,CR-40,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,0.5,-99.9,-99.9,
40,GLOBEC,CR-41,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,0.37,-99.9,-99.9,
41,GLOBEC,CR-42,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,1.08,-99.9,-99.9,
42,GLOBEC,CR-43,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,1,-99.9,-99.9,
43,GLOBEC,CR-44,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,2.18,-99.9,-99.9,
44,GLOBEC,CR-45,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,1.28,-99.9,-99.9,
45,GLOBEC,CR-46,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,1.83,-99.9,-99.9,
46,GLOBEC,CR-47,20020816,2002,8,16,-68.03,-74.852,Bellingshausen/Amundsen,0.34,-99.9,-99.9,
47,GLOBEC,CR-17,20020816,2002,8,16,-68.537,-74.095,Bellingshausen/Amundsen,1.95,0.34,0.06,
48,GLOBEC,CR-18,20020816,2002,8,16,-68.537,-74.095,Bellingshausen/Amundsen,2.15,0.1,0.15,
49,GLOBEC,CR-19,20020816,2002,8,16,-68.537,-74.095,Bellingshausen/Amundsen,0.32,-99.9,-99.9,
50,GLOBEC,CR-48,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,2.6,-99.9,-99.9,
51,GLOBEC,CR-49,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,3.08,-99.9,-99.9,
52,GLOBEC,CR-50,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.65,-99.9,-99.9,
53,GLOBEC,CR-51,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,2.55,-99.9,-99.9,
54,GLOBEC,CR-52,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.7,-99.9,-99.9,
55,GLOBEC,CR-53,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,2.66,-99.9,-99.9,
56,GLOBEC,CR-54,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.78,-99.9,-99.9,
57,GLOBEC,CR-55,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.72,-99.9,-99.9,
58,GLOBEC,CR-56,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.95,-99.9,-99.9,
59,GLOBEC,CR-57,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.44,-99.9,-99.9,
60,GLOBEC,CR-58,20020817,2002,8,17,-68.022,-74.623,Bellingshausen/Amundsen,0.25,-99.9,-99.9,
61,GLOBEC,CR-20,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.72,0.1,0.03,
62,GLOBEC,CR-21,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.7,0.13,0.03,
63,GLOBEC,CR-22,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.68,0.19,0.01,
64,GLOBEC,CR-23,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.69,0.16,0,
65,GLOBEC,CR-24,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.87,0.19,0,
66,GLOBEC,CR-25,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.79,0.23,0.02,
67,GLOBEC,CR-26,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.96,0.28,0.04,
68,GLOBEC,CR-27,20020817,2002,8,17,-68.092,-74.745,Bellingshausen/Amundsen,0.9,0.27,0.025,
69,GLOBEC,CR-59,20020819,2002,8,19,-67.5,-71.503,Bellingshausen/Amundsen,1.17,-99.9,-99.9,
70,GLOBEC,CR-60,20020819,2002,8,19,-67.5,-71.503,Bellingshausen/Amundsen,1.34,-99.9,-99.9,
71,GLOBEC,CR-28,20020819,2002,8,19,-67.545,-71.655,Bellingshausen/Amundsen,0.61,0.21,0.045,
72,GLOBEC,CR-29,20020819,2002,8,19,-67.545,-71.655,Bellingshausen/Amundsen,0.54,0.15,0,
73,GLOBEC,CR-30,20020819,2002,8,19,-67.545,-71.655,Bellingshausen/Amundsen,0.56,0.1,0.01,
74,GLOBEC,CR-31,20020819,2002,8,19,-67.545,-71.655,Bellingshausen/Amundsen,0.59,0.1,0.02,
75,GLOBEC,CR-32,20020819,2002,8,19,-67.545,-71.655,Bellingshausen/Amundsen,0.56,0.15,0.02,
76,GLOBEC,CR-33,20020819,2002,8,19,-67.545,-71.655,Bellingshausen/Amundsen,0.55,0.18,0.03,
77,GLOBEC,CR-34,20020820,2002,8,20,-67.266,-71.531,Bellingshausen/Amundsen,0.97,0.14,0.055,
78,GLOBEC,CR-35,20020820,2002,8,20,-67.266,-71.531,Bellingshausen/Amundsen,1.32,0.14,0.11,
79,GLOBEC,CR-36,20020820,2002,8,20,-67.266,-71.531,Bellingshausen/Amundsen,0.91,0.11,0.015,
80,GLOBEC,CR-37,20020820,2002,8,20,-67.266,-71.531,Bellingshausen/Amundsen,0.89,0.17,0.015,
81,GLOBEC,CR-38,20020820,2002,8,20,-67.266,-71.531,Bellingshausen/Amundsen,0.73,0.09,0.015,
82,GLOBEC,CR-39,20020820,2002,8,20,-67.266,-71.531,Bellingshausen/Amundsen,0.98,0.07,0.02,
83,GLOBEC,CR-61,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.57,-99.9,-99.9,
84,GLOBEC,CR-62,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.44,-99.9,-99.9,
85,GLOBEC,CR-63,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.83,-99.9,-99.9,
86,GLOBEC,CR-64,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.91,-99.9,-99.9,
87,GLOBEC,CR-65,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.32,-99.9,-99.9,
88,GLOBEC,CR-66,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.33,-99.9,-99.9,
89,GLOBEC,CR-67,20020821,2002,8,21,-67.088,-72.492,Bellingshausen/Amundsen,0.31,-99.9,-99.9,
